start month,start year,end month,end year,Lamas num,case num,road num,road name,semel yishuv,shem yishuv,shem medaveach,sug slila,road len,road width,road area,road type,way type
2,2007,2,2007,7278,0 0,0,סירקין,6600,חולון,עיריית חולון,הרחבה ושיקום,380,7,2660,מצופה אספלט,עירונית
10,2021,10,2021,19630,,0,מואב,2560,ערד,עיריית ערד,שיקום כביש,49,4,206,מצופה אספלט,עירונית
10,2023,1,2024,22456,,0,תל עדשים,103,תל עדשים,מועצה אזורית עמק יזרעאל,הרחבה ושיקום,650,3,1950,מצופה אספלט,עירונית
6,2019,12,2020,18314,,0,ג'ואמנה,6000,באקה אל-גרביה,עיריית באקה ג'ת,שיקום כביש,166,11,1826,מצופה אספלט,עירונית
8,2002,8,2002,4513,0 0,0,הרקפות,4000,חיפה,עיריית חיפה,שיקום כביש,12,8,96,מצופה אספלט,עירונית
9,2020,4,2021,18933,4600001855,66,,0,,"החברה הלאומית לדרכים בישראל מע""צ אור יהודה",הרחבת כביש,700,16,11200,מצופה אספלט,ראשית
1,1997,3,1997,2278,0 0,0,הזית,8700,רעננה,עיריית רעננה,סלילת כביש,60,15,900,מרוצף,עירונית
9,2007,4,2008,7754,0 0,0,ככר שטרן התאנה לוי אשכול,2620,קריית אונו,עיריית קרית אונו,הרחבה ושיקום,500,18,9000,מצופה אספלט,עירונית
8,2022,12,2022,20689,,0,שכ האגמים,7100,אשקלון,חברה הכלכלית לאשקלון,סלילת כביש,61,10,610,מצופה אספלט,עירונית
1,2012,9,2012,9636,7 10,79,כביש 79 המוביל סוללים,9999,כביש בין ישובים,,הרחבת כביש,2080,24,49088,מצופה אספלט,ראשית
5,2022,7,2022,21311,4600005619,55,,0,,"החברה הלאומית לדרכים בישראל מע""צ אור יהודה",שיקום כביש,1735,9,14747,מצופה אספלט,ראשית
12,2000,5,2001,27,0 0,0,השיטה,240,יקנעם עילית,מועצה מקומית יקנעם עילית,הרחבת כביש,240,7,1680,מצופה אספלט,עירונית
7,2010,8,2010,8738,0 0,0,רחובות שונים קרצןף וריבוד,7400,נתניה,עיריית נתניה,שיקום כביש,1920,7,13440,מצופה אספלט,עירונית
2,2023,2,2023,22194,,5,כביש מספר 5,2640,ראש העין,דרך ארץ,שיקום כביש,800,10,8000,מצופה אספלט,ראשית
11,2005,12,2008,6850,1705 0,0,רח' הורדים,2800,קריית שמונה,עיריית קריית שמונה,הרחבה ושיקום,901,10,9010,מצופה אספלט,עירונית
12,2017,5,2018,15488,0 0,0,צומת דרום אפריקה צפנייה,7100,אשקלון,עיריית אשקלון,הרחבת כביש,350,10,3500,מצופה אספלט,אזורית
3,1996,12,1996,3236,54 0,0,מורשה,9999,כביש בין ישובים,"החברה הלאומית לדרכים בישראל מע""צ אור יהודה",הרחבת כביש,2500,14,36000,מצופה אספלט,ראשית
3,2006,7,2006,7031,0 0,0,תור הזהב,7900,פתח תקווה,עיריית פתח תקווה,סלילת כביש,220,10,2200,מרוצף,עירונית
1,2014,8,2014,12359,6057 4,60,כביש 60,9999,כביש בין ישובים,"החברה הלאומית לדרכים בישראל מע""צ אור יהודה",הרחבת כביש,700,20,14000,מצופה אספלט,ראשית
7,2015,10,2015,13179,0 0,0,סנונית,2550,גדרה,מועצה מקומית גדרה,הרחבה ושיקום,80,6,480,מרוצף,עירונית
10,2007,1,2008,7620,81 6,0,עוקף מזרחי צומת כביש 40,8400,רחובות,,הרחבה ושיקום,500,25,12500,מצופה אספלט,ראשית
5,2008,9,2008,7934,0 0,34,כביש 34,3652,בית אריה,מועצה מקומית בית אריה,סלילת כביש,150,16,2400,מצופה אספלט,עירונית
10,2000,8,2002,3771,0 0,0,"נת""צ ד",9999,כביש בין ישובים,נתיבי איילון תל אביב,הרחבת כביש,600,20,12000,מצופה אספלט,ראשית
11,1996,8,1997,3131,767 0,0,ככר יבניאל,9999,כביש בין ישובים,,הרחבה ושיקום,800,9,6800,מצופה אספלט,אזורית
1,2003,12,2003,5602,0 0,0,קפלנסקי,7900,פתח תקווה,עיריית פתח תקווה,סלילת כביש,250,7,1625,מצופה אספלט,אזורית
6,2021,6,2021,18490,,0,התור,8300,ראשון לציון,עיריית ראשון לציון,שיקום כביש,198,10,2057,מצופה אספלט,עירונית
9,2020,10,2020,18094,0 0,0,רחוב המחתרת,2650,רמת השרון,עיריית רמת השרון,שיקום כביש,192,7,1344,מצופה אספלט,עירונית
8,1999,9,1999,335,0 0,0,נוה סביון,2400,אור יהודה,עיריית אור-יהודה,הרחבת כביש,110,10,1100,מצופה אספלט,ראשית
10,2020,11,2020,18466,,0,אדר,47,כפר תבור,מועצה מקומית כפר תבור,סלילת כביש,290,6,1740,מצופה אספלט,גישה
7,2020,1,2021,19007,,0,כביש 2,492,דיר חנא,נתיבי איילון תל אביב,סלילת כביש,100,12,1200,מצופה אספלט,עירונית
10,2015,6,2016,14044,0 0 4,52,קדימה צורן עד אלישיב,9999,,מועצה אזורית שפיר,הרחבת כביש,11780,12,140535,מצופה אספלט,ראשית
4,2017,5,2017,14816,0 0,0,צומת כמהין באר מילכה,1291,כמהין,מועצה אזורית רמת הנגב,הרחבת כביש,4120,5,20600,מצופה אספלט,גישה
5,1997,9,1998,3815,0 0,0,כביש מכבר,9999,כביש בין ישובים,,הרחבה ושיקום,900,9,7650,מצופה אספלט,גישה
4,1995,10,1996,3802,0 0,0,כביש כניסה,9999,כביש בין ישובים,,הרחבה ושיקום,470,8,3760,מצופה אספלט,עירונית
11,2017,11,2017,15312,15 0,0,שכונה צפונית,529,אעבלין,מועצה מקומית אעבלין,סלילת כביש,250,6,1500,מצופה אספלט,גישה
7,2006,7,2007,7084,12051030,0,אפרתה,3650,אפרתה,משרד הבינוי והשיכון תל אביב,סלילת כביש,150,8,1200,מצופה אספלט,עירונית
6,2022,7,2023,20712,,0,נאות גולן,4551,נאות גולן,מועצה אזורית גולן,סלילת כביש,510,8,4080,מצופה אספלט,עירונית
9,2017,9,2017,15120,0 0,0,אבן עזרא,7100,אשקלון,עיריית אשקלון,הרחבת כביש,230,14,3199,מצופה אספלט,ראשית
8,2014,9,2014,12468,0 0,0,צומת רוקח אבן גבירול,5000,תל אביב -יפו,נתיבי איילון תל אביב,שיקום כביש,500,10,5000,מצופה אספלט,עירונית
3,2023,3,2023,21201,,0,לילינבלום,8500,רמלה,עיריית רמלה,הרחבת כביש,55,10,550,מצופה אספלט,עירונית
11,1994,1,1996,1147,0 0,0,מלכי יהודה,6400,הרצלייה,עיריית הרצליה,סלילת כביש,300,7,2100,מצופה אספלט,אזורית
1,2020,3,2020,17506,0 0,0,מתחם 9,1031,שדרות,עיריית שדרות,סלילת כביש,3500,9,31500,מצופה אספלט,עירונית
10,2019,12,2019,17635,0 0,0,כביש מספר 6 קטע 3,494,דאלית אל-כרמל,מועצה מקומית דליית אל כרמל,הרחבה ושיקום,100,10,1000,מצופה אספלט,עירונית
